停车场名称,所在园区,地址,面积,车位数,充电桩数,是否通网,是否通电
江安河地上停车场,青羊B区（暂定）,四川省成都市青羊区光华8线,800,28,,否,否
青龙湖二期LQ-YZ-20西侧地上停车场,青龙湖二期,四川省成都市龙泉驿区十洪路,4574,154,0,否,否
玉垒路西侧停车场（1号）,大熊猫繁育研究基地,四川省成都市金牛区玉垒路54号,8122.8,254,,是,是        
青龙农场M1南侧地上停车场,青龙农场,四川省成都市龙泉驿区G4202,830.35,26,0,是,是
青龙湖一期QL-2地上停车场,青龙湖一期,四川省成都市龙泉驿区大平路,3707,65,,是,是
玉石湿地西YS-8旁地上停车场,玉石湿地西,四川省成都市龙泉驿区玉石路,877.68,89,,是,是
三里江安成新蒲北侧停车场,三里江安,四川省成都市双流区千桐路,1739.83,205,,否,否
千林里1号楼北侧停车场,千林里,四川省成都市双流区统力大道,515,15,,否,否
桂溪弥远旁停车场,桂溪生态公园东区,四川省成都市武侯区世纪城东路,374,11,,是,是
凤求凰B区05林盘西北侧停车场,凤求凰,四川省成都市双流区成新蒲快速通道,932㎡,25,,否,否
锦城湖1号湖停车场,锦城湖,四川省成都市武侯区益州大道北段1666号,5130,135,,是,是
青龙农场LQ-YZ-14西侧地上停车场,青龙农场,四川省成都市龙泉驿区G4202,2984.39,117,0,是,是
青龙湖二期LQ-YZ-31东侧地上停车场,青龙湖二期,四川省成都市龙泉驿区厦蓉高速公路,6029,50,,是,是      
亲子牧场白沙路外侧8号厕所地上停车场,拾趣园,无,,,,否,未知
张家碾地上停车场,青羊G区（暂定）,无,750,26,,否,否
青龙湖一期MC-1北侧地上停车场,青龙湖一期,四川省成都市龙泉驿区世纪大道,3264,97,,是,是
萌宠乐园2号北侧停车场,萌宠乐园,四川省成都市双流区西航港大道北段,6335,155,,未知,是
青龙湖二期QL-5西侧地上停车场（临近未来社区）,青龙湖二期,四川省成都市龙泉驿区蜀王大道南段,11010,364,0,是,是
桂溪西区地下停车场,桂溪生态公园西区,四川省成都市武侯区天府一街,19532,514,,是,是
亲子牧场5号林盘东侧停车场,拾趣园,四川省成都市郫都区成都绕城高速公路,144,4,,否,否
玉垒路北侧停车场（3号）,大熊猫繁育研究基地,四川省成都市金牛区玉垒路,6813,46,,是,是
青野林西侧副入口停车场,青野林,四川省成都市郫都区西区大道,1400,35,,否,否
亲子牧场郫都六号林盘东侧停车场,拾趣园,四川省成都市郫都区赛方路,4245,112,,否,否
江家艺苑M7北侧停车场,江家艺苑,四川省成都市锦江区湿地路,,210,,是,是
交子百业A2停车场,交子百业,四川省成都市武侯区G5,3040,80,,否,否
拾光里 1 号房建地下停车场,拾光里,四川省成都市青羊区成都绕城高速公路,7509㎡,188,,否,否
蜀道通衢古医温泉地上停车场,蜀道通衢,无,,,,否,未知
千林里23号驿站北侧停车场,千林里,四川省成都市双流区成都绕城高速公路,4179,105,,否,否
千林里2号楼东侧停车场,千林里,四川省成都市双流区统力大道,3583㎡,90,,否,否
亲子牧场白沙路归园桥南侧地上停车场,拾趣园,无,,,,否,未知
蜀道通衢竹舍东侧停车场,蜀道通衢,四川省成都市金牛区金凤凰大道,258,7,,否,否
